; Elemental composition and isotopic abundances, as of 2001-02-27 
;
; Source of Data: 
; Coursey, J. S. and Dragoset, R. A. (2000). Atomic Weights and Isotopic Compositions (version 2.1). 
; http://physics.nist.gov/Compositions [2001, February 27]. 
; National Institute of Standards and Technology, Gaithersburg, MD.
; Originally published as:
; R. D. Vocke, Jr., Atomic Weights of the Elements 1997, Pure Appl. Chem., 71(8), 1593 (1999)
; K.J.R. Rosman and P.D.P. Taylor, Isotopic Compositions of the Elements 1997, J. Phys. Chem. Ref. Data, 27(6), 1275 (1998)
; G. Audi and A. H. Wapstra, The 1995 Update To The Atomic Mass Evaluation, Nuclear Physics A, 595(4), 409 (1995). 
;
; The IUPAC's biennial review of atomic weight determinations warranted no changes to the standard atomic weights 
; from that published in Atomic Weights of the Elements 1995 other than a change to the footnote for Lithium. 
; -- R. D. Vocke, Jr., Atomic Weights of the Elements 1997, Pure Appl. Chem., 71(8), 1593 (1999). 
;
;atw	sym	mass	%RA		Valence
108	[108]Cd	107.904183	0.89	2
110	[110]Cd	109.903006	12.49	2
111	[111]Cd	110.904182	12.80	2
112	[112]Cd	111.9027572	24.13	2
113	[113]Cd	112.9044009	12.22	2
114	Cd	113.9033581	28.73	2
116	[116]Cd	115.904755	7.49	2
113	[113]In	112.904061	4.29	3
115	In	114.903878	95.71	3
112	[112]Sn	111.904821	0.97	4
114	[114]Sn	113.902782	0.66	4
115	[115]Sn	114.903346	0.34	4
116	[116]Sn	115.901744	14.54	4
117	[117]Sn	116.902954	7.68	4
118	[118]Sn	117.901606	24.22	4
119	[119]Sn	118.903309	8.59	4
120	Sn	119.9021966	32.58	4
122	[122]Sn	121.9034401	4.63	4
124	[124]Sn	123.9052746	5.79	4
121	Sb	120.9038180	57.21	0
123	[123]Sb	122.9042157	42.79	0
120	[120]Te	119.904020	0.09	2
122	[122]Te	121.9030471	2.55	2
123	[123]Te	122.9042730	0.89	2
124	[124]Te	123.9028195	4.74	2
125	[125]Te	124.9044247	7.07	2
126	[126]Te	125.9033055	18.84	2
128	[128]Te	127.9044614	31.74	2
130	Te	129.9062228	34.08	2
127	I	126.904468	100	1
124	[124]Xe	123.9058958	0.09	0
126	[126]Xe	125.904269	0.09	0
128	[128]Xe	127.9035304	1.92	0
129	[129]Xe	128.9047795	26.44	0
130	[130]Xe	129.9035079	4.08	0
131	[131]Xe	130.9050819	21.18	0
132	Xe	131.9041545	26.89	0
134	[134]Xe	133.9053945	10.44	0
136	[136]Xe	135.907220	8.87	0
133	Cs	132.905447	100	1
130	[130]Ba	129.906310	0.106	2
132	[132]Ba	131.905056	0.101	2
134	[134]Ba	133.904503	2.417	2
135	[135]Ba	134.905683	6.592	2
136	[136]Ba	135.904570	7.854	2
137	[137]Ba	136.905821	11.232	2
138	Ba	137.905241	71.698	2
138	[138]La	137.907107	0.090	3
139	La	138.906348	99.910	3
136	[136]Ce	135.907140	0.185	3
138	[138]Ce	137.905986	0.251	3
140	Ce	139.905434	88.450	3
142	[142]Ce	141.909240	11.114	3
141	Pr	140.907648	100	4
142	Nd	141.907719	27.2	3
143	[143]Nd	142.909810	12.2	3
144	[144]Nd	143.910083	23.8	3
145	[145]Nd	144.912569	8.3	3
146	[146]Nd	145.913112	17.2	3
148	[148]Nd	147.916889	5.7	3
150	[150]Nd	149.920887	5.6	3
145	Pm	144.912744	0	3
147	Pm	146.915134	0	3
144	[144]Sm	143.911995	3.07	3
147	[147]Sm	146.914893	14.99	3
148	[148]Sm	147.914818	11.24	3
149	[149]Sm	148.917180	13.82	3
150	[150]Sm	149.917271	7.38	3
152	Sm	151.919728	26.75	3
154	[154]Sm	153.922205	22.75	3
151	[151]Eu	150.919846	47.81	3
153	Eu	152.921226	52.19	3
152	[152]Gd	151.919788	0.20	3
154	[154]Gd	153.920862	2.18	3
155	[155]Gd	154.922619	14.80	3
156	[156]Gd	155.922120	20.47	3
157	[157]Gd	156.923957	15.65	3
158	Gd	157.924101	24.84	3
160	[160]Gd	159.927051	21.86	3
159	Tb	158.925343	100	4
156	[156]Dy	155.924278	0.06	3
158	[158]Dy	157.924405	0.10	3
160	[160]Dy	159.925194	2.34	3
161	[161]Dy	160.926930	18.91	3
162	[162]Dy	161.926795	25.51	3
163	[163]Dy	162.928728	24.90	3
164	Dy	163.929171	28.18	3
165	Ho	164.930319	100	3
162	[162]Er	161.928775	0.14	3
164	[164]Er	163.929197	1.61	3
166	Er	165.930290	33.61	3
167	[167]Er	166.932045	22.93	3
168	[168]Er	167.932368	26.78	3
170	[170]Er	169.935460	14.93	3
169	Tm	168.934211	100	3
168	[168]Yb	167.933894	0.13	3
170	[170]Yb	169.934759	3.04	3
171	[171]Yb	170.936322	14.28	3
172	[172]Yb	171.9363777	21.83	3
173	[173]Yb	172.9382068	16.13	3
174	Yb	173.9388581	31.83	3
176	[176]Yb	175.942568	12.76	3
175	Lu	174.9407679	97.41	3
176	[176]Lu	175.9426824	2.59	3
174	[174]Hf	173.940040	0.16	4
176	[176]Hf	175.9414018	5.26	4
177	[177]Hf	176.9432200	18.60	4
178	[178]Hf	177.9436977	27.28	4
179	[179]Hf	178.9458151	13.62	4
180	Hf	179.9465488	35.08	4
180	[180]Ta	179.947466	0.012	3
181	Ta	180.947996	99.988	3
180	[180]W	179.946706	0.12	5
182	[182]W	181.948206	26.50	5
183	[183]W	182.9502245	14.31	5
184	W	183.9509326	30.64	5
186	[186]W	185.954362	28.43	5
185	[185]Re	184.9529557	37.40	2
187	Re	186.9557508	62.60	2
184	[184]Os	183.952491	0.02	4
186	[186]Os	185.953838	1.59	4
187	[187]Os	186.9557479	1.96	4
188	[188]Os	187.9558360	13.24	4
189	[189]Os	188.9581449	16.15	4
190	[190]Os	189.958445	26.26	4
192	Os	191.961479	40.78	4
191	[191]Ir	190.960591	37.3	4
193	Ir	192.962924	62.7	4
190	[190]Pt	189.959930	0.014	4
192	[192]Pt	191.961035	0.782	4
194	[194]Pt	193.962664	32.967	4
195	Pt	194.964774	33.832	4
196	[196]Pt	195.964935	25.242	4
198	[193]Pt	197.967876	7.163	4
197	Au	196.966552	100	3
196	[196]Hg	195.965815	0.15	2
198	[198]Hg	197.966752	9.97	2
199	[199]Hg	198.968262	16.87	2
200	[200]Hg	199.968309	23.10	2
201	[201]Hg	200.970285	13.18	2
202	Hg	201.970626	29.86	2
204	[204]Hg	203.973476	6.87	2
203	[203]Tl	202.972329	29.524	3
205	Tl	204.974412	70.476	3
204	[204]Pb	203.973029	1.4	2
206	[206]Pb	205.974449	24.1	2
207	[207]Pb	206.975881	22.1	2
208	Pb	207.976636	52.4	2
209	Bi	208.980383	100	3
209	Po	208.982416	0	0
210	Po	209.982857	0	0
210	At	209.987131	0	0
211	At	210.987481	0	0
211	Rn	210.990585	0	0
220	Rn	220.0113841	0	0
222	Rn	222.0175705	0	0
223	Fr	223.0197307	0	1
223	Ra	223.018497	0	2
224	Ra	224.0202020	0	2
226	Ra	226.0254026	0	2
228	Ra	228.0310641	0	2
227	Ac	227.0277470	0	0
230	Th	230.0331266	0	4
232	Th	232.0380504	100	4
231	Pa	231.0358789	100	4
233	[233]U	233.039628	0	6
234	[234]U	234.0409456	0.0055	6
